code,reward,expiration_date,expiration_time,is_non_expiring,is_unknown_expiration,bl,bl_tps,bl2,bl3,wonderlands,bl4,is_key,is_cosmetic,is_gear
3S6BB-ZXT93-KRT3W-BT3T3-JW6TZ,Horrors of Kairos Cosmetics,2030-12-31,00:00:00,false,false,false,false,false,false,false,true,false,true,false
J96JT-BCXKT-C6JJ5-JTJBB-BZTXJ,Maliwannabee Skin - Harlowe,2030-12-31,00:00:00,false,false,false,false,false,false,false,true,false,true,false
BZ6JJ-CB6CT-WXJJW-3TT3B-56FZ5,Mass Market Appeal Skin - Vex,2030-12-31,00:00:00,false,false,false,false,false,false,false,true,false,true,false
JZ6BJ-SBR5J-WF3BK-BT3BB-TX9HB,Cult Classic Skin - Amon,2030-12-31,00:00:00,false,false,false,false,false,false,false,true,false,true,false
TZXT3-XJXCB-CXBJW-BTTJT-9SK6B,Savings Savior Skin - Rafa,2030-12-31,00:00:00,false,false,false,false,false,false,false,true,false,true,false
JS63J-JSCWJ-CFTBW-3TJ3J-WJS5R,Break Free Pack,2030-12-31,00:00:00,false,false,false,false,false,false,false,true,false,true,false
J9XTB-SJWS3-WRTTC-BJTJJ-TH6TX,A Winter Borderland ECHO-4 Drone Skin,2030-12-31,00:00:00,false,false,false,false,false,false,false,true,false,true,false
3ZXJB-HZBHT-KX3BK-BBTT3-BHHXJ,Children of the Vex Vault Hunter Skin,2030-12-31,00:00:00,false,false,false,false,false,false,false,true,false,true,false
BZ6J3-3JKHB-CX3B5-TTJTT-HJBZW,The World on His Shoulders Vault Hunter Skin,2030-12-31,00:00:00,false,false,false,false,false,false,false,true,false,true,false
3HX3J-RJWSJ-CFBBC-3BJ3B-RWZ36,A Winter Borderland Vault Hunter Skin,2030-12-31,00:00:00,false,false,false,false,false,false,false,true,false,true,false
39FJB-CT5S3-5FTTW-BBB3J-F3HKZ,Hype Squad Vault Hunter skin,2030-12-31,00:00:00,false,false,false,false,false,false,false,true,false,true,false
BH633-66F5C-WFBB5-33TJB-CBSR9,You're So Vein Vault Hunter Skin,2030-12-31,00:00:00,false,false,false,false,false,false,false,true,false,true,false
J963B-S66WK-56J3K-JJT3T-BF9T5,Luck of the Kairish Vault Hunter Skin,2030-12-31,00:00:00,false,false,false,false,false,false,false,true,false,true,false
3ZRT3-K59KK-W6BJ5-B3TJ3-9WT99,Like a Vermillion Bucks Skin - C4SH,2030-12-31,00:00:00,false,false,false,false,false,false,false,true,false,true,false
BZFBT-WT9S3-WR3BC-3TJ3B-HSFBB,3 Keys,2026-06-16,14:48:00,false,false,false,false,false,false,false,true,true,false,false
BZ6J3-TBHST-CX3JK-J33T3-9FJ95,3 Keys,2026-06-09,09:05:00,false,false,false,false,false,false,false,true,true,false,false
THXBB-9ZFST-5R3JW-33JJB-JT9RT,3 Keys,2026-06-02,15:10:00,false,false,false,false,false,false,false,true,true,false,false
TSR33-F96ST-CRTBK-JB3JT-5KJHR,3 Keys,2026-05-26,12:43:00,false,false,false,false,false,false,false,true,true,false,false
JHRJT-W9F93-WFJTK-3J3TT-Z6BK5,3 Keys,2026-05-19,22:55:00,false,false,false,false,false,false,false,true,true,false,false
3HF33-JHFZ3-CRBT5-33333-S5W3X,3 Keys,2026-05-12,20:42:00,false,false,false,false,false,false,false,true,true,false,false
T96J3-SFRH3-56BJC-3TTTJ-ZBJSB,3 Keys,2026-05-05,20:38:00,false,false,false,false,false,false,false,true,true,false,false
3ZR3T-6CSKW-WFTJC-JB33B-Z55ZT,5 Keys,2026-04-30,00:00:00,false,false,false,false,false,false,false,true,true,false,false
WH5TB-BS5SR-3HC9W-HT3B3-STRKW,5 Keys (PAX East 2026),2026-04-26,00:00:00,false,false,false,false,false,false,false,true,true,false,false
3SFBB-CRXST-C6J3K-BTJTJ-XXK5S,3 Keys,2026-04-21,21:01:00,false,false,false,false,false,false,false,true,true,false,false
BS633-3XR9T-W6TJ5-J33JJ-RWT5T,3 Keys,2026-04-14,18:47:00,false,false,false,false,false,false,false,true,true,false,false
3SFJB-SK6ZJ-KRTT5-B3BT3-3ST9W,3 Keys,2026-04-07,00:59:00,false,false,false,false,false,false,false,true,true,false,false
3HRTT-65XHT-W6B3C-3JBTT-HCJ5B,3 Keys,2026-03-31,17:42:00,false,false,false,false,false,false,false,true,true,false,false
3ZRJ3-KWRS3-C63JW-3JBBB-Z6S6X,3 Keys,2026-03-24,12:05:00,false,false,false,false,false,false,false,true,true,false,false
